uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A7I7X9S2	0.2727272727272727	2;9;15;17;24;26;27;31;32;35;43;44	44	2.5180166608095167	1.3761135698739133	0.75	1;2;3;4;5;6;7;10;11;12;13;14;15;16;18;19;20;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;47;48;50;51;52;54;57;59;60;61;62;63;65;66;68;69;70;71;73;75;76;77;78;79;82;85;86;87;88;89;90;91;93;98;99;100
A0A7I7XXG0	0.34	1;3;4;9;12;13;14;15;19;21;31;33;36;37;38;45;47	50	2.5535413575172425	1.1340767292013165	0.7	1;2;5;6;7;8;9;10;12;14;15;16;17;18;20;21;22;23;24;27;28;29;30;33;34;35;37;38;39;40;42;43;45;47;48;49;50;51;52;54;56;58;59;60;61;63;64;65;66;67;68;71;72;73;77;78;79;86;87;88;90;91;92;93;94;95;96;97;98;99
A0A7I9XMW5	0.2807017543859649	3;14;19;25;27;30;31;33;37;39;41;42;48;49;54;56	57	2.240381969809532	1.3363434973220492	0.89	1;2;3;4;5;6;7;8;9;10;11;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;37;39;40;41;42;43;44;45;46;47;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;65;66;67;69;70;71;73;74;75;76;77;78;79;80;81;83;84;85;86;87;88;89;91;92;93;95;96;97;98;99;100
A0A7K3LE40	0.3902439024390244	2;4;5;6;13;18;20;22;23;24;25;27;30;38;39;41	41	2.680847473144531	1.1669545493530493	0.85	1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;24;26;27;28;29;30;32;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;55;56;58;59;60;61;62;63;64;65;67;68;69;70;71;72;73;74;75;76;77;78;79;82;83;84;85;86;87;88;89;92;93;94;95;96;97;98;99;100
A0A7U5RWM8	0.4	1;3;7;8;10;15;16;23;24;26;29;30	30	2.757108150720596	0.935512633649432	0.58	3;4;5;6;13;15;16;19;20;25;26;28;29;31;32;33;34;36;37;38;39;42;43;45;48;49;50;52;53;55;57;59;60;61;62;64;65;66;67;68;69;70;71;72;74;76;77;81;82;85;86;89;90;93;95;97;98;100
A0A7V8RXZ3	0.375	3;4;7;11;14;16;18;21;23;24;27;30;31;37;39	40	2.716206465959549	1.24062275649701	0.87	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;51;52;53;54;55;56;57;58;60;61;62;63;64;65;66;69;70;71;72;73;74;75;76;77;78;80;81;82;84;85;86;87;88;89;90;91;96;99;100
A0A7X6MIZ0	0.36585365853658536	1;2;3;5;6;7;8;12;13;16;21;31;33;35;40	41	2.611690111160278	1.2118016413910888	0.85	1;2;3;4;6;7;8;9;11;12;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;30;31;32;33;34;35;36;37;38;39;40;41;42;44;45;47;48;49;50;51;53;54;55;56;59;60;62;63;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;81;82;83;84;85;86;89;90;92;93;94;95;96;97;98;99;100
A0A829MDQ7	0.3333333333333333	11;15;17;18;19;22;26;27;29;30;32;33;37;43;44;48;49	51	2.2266272366046906	0.9320199681001249	0.67	1;3;4;5;6;8;9;10;12;13;14;15;19;21;22;23;24;26;27;28;29;30;31;32;33;39;40;43;44;46;47;48;49;50;52;54;55;56;57;58;59;60;64;65;66;67;68;69;71;72;73;74;75;77;81;83;84;85;87;88;89;90;91;92;96;98;100
A0A829PS24	0.4	7;9;10;14;16;17;18;20;21;28;29;31;33;36;37;40	40	2.4330910730361937	0.9093167418028855	0.89	1;2;4;5;6;7;8;9;11;12;13;14;15;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;39;40;41;42;43;44;45;46;47;48;50;52;53;54;55;56;57;59;60;61;62;63;64;65;66;68;70;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
A0A829Q1V2	0.3142857142857143	1;4;5;19;22;24;26;29;30;32;33	35	2.6881764364242553	0.9996082673882467	0.85	1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19;20;22;23;24;25;26;27;28;29;30;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;49;50;51;52;53;54;56;57;58;59;61;62;64;65;67;68;70;72;73;75;78;79;80;81;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
A0A846XPH2	0.4090909090909091	3;4;8;10;12;13;17;20;22;23;25;29;30;34;35;36;39;44	44	2.550032331943512	1.1921585858938906	0.65	1;2;4;6;7;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;28;31;32;34;35;38;40;42;44;50;51;52;53;55;58;59;60;61;62;63;65;66;67;68;70;71;75;76;78;79;82;84;85;86;87;89;91;93;94;95;96;99;100
A0A8E2LPD0	0.2692307692307692	2;4;8;13;14;20;25;30;31;34;35;37;39;42	52	2.4624294090270995	1.088894110881474	0.87	2;3;4;5;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;33;34;35;36;37;38;39;40;41;43;44;45;46;47;48;49;50;51;52;53;55;56;57;58;59;60;61;62;63;64;65;66;69;70;71;72;74;75;76;77;78;79;80;81;82;83;84;85;88;89;90;92;93;94;97;98;99;100
A0A8J4A7U7	0.2653061224489796	7;12;15;17;18;19;20;21;22;23;29;32;42	49	2.3920904213190077	1.2299397997613224	0.48	1;2;3;4;6;7;8;9;10;11;12;13;14;15;18;19;20;21;23;24;25;29;33;34;35;36;40;45;46;50;51;53;54;58;60;61;66;68;74;83;84;85;87;88;90;97;98;100
A0A934NT38	0.391304347826087	3;5;7;10;11;13;14;16;20;21;23;25;26;27;28;31;32;43	46	2.3408387017250063	0.9288238616671335	0.91	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;50;52;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;74;75;76;77;78;79;80;81;82;84;86;87;88;89;91;92;93;95;96;98;99;100
